,Model,Colour,Memory,RAM,Battery,Rear_camera_mp,Front_Camera_mp,AI Lens,Mobile Height,Processor,Price
488,REDMI Note 9,Scarlet Red,128,6,5020,48,13,0,16.59,MediaTek Helio G85,14999
490,vivo Y565G,Orange Shimmer,128,8,5000,50,16,0,16.71,MTK Dimensity 700,19979
492,REDMI Note 10 Lite,Glacier White,128,6,5020,48,16,0,16.94,Qualcomm Snapdragon 720G,14385
495,Infinix Hot 12 Pro,Lightsaber Green,128,8,5000,108,8,0,16.76,Unisoc T616,12999
497,Infinix Hot 11,Emerald Green,64,4,5200,13,8,0,16.76,MediaTek Helio G70,9999
498,Infinix Hot 11,Silver Wave,64,4,5200,13,8,0,16.76,MediaTek Helio G70,9999
501,vivo T1 Pro 5G,Turbo Black,128,6,4700,64,16,0,16.36,Qualcomm Snapdragon 778G 5G Mobile Platform,23999
503,REDMI 12c,Royal Blue,128,6,5000,50,5,0,17.04,MediaTek Helio G85,10799
504,LAVA Z2,Flame Red,32,3,5000,13,8,0,16.55,MediaTek Helio G35,7999
505,Infinix Hot 12 Pro,Lightsaber Green,64,6,5000,50,8,0,16.76,Unisoc T616,9999
506,Infinix Hot 12 Pro,Racing Black,64,6,5000,50,8,0,16.76,Unisoc T616,9999
507,Infinix Hot 12 Pro,Electric Blue,64,6,5000,50,8,0,16.76,Unisoc T616,9999
509,REDMI Note 11T 5G,Aquamarine Blue,128,6,5000,50,16,0,16.76,Mediatek Dimensity 810,18990
510,REDMI Note 11T 5G,Matte black,128,8,5000,50,16,0,16.76,Mediatek Dimensity 810,18999
514,MOTOROLA g31,Meteorite Grey,64,4,5000,50,13,0,16.26,Mediatek Helio G85,11999
516,realme C11 2021,Cool Grey,32,2,5000,8,5,0,16.51,Octa-core,7499
517,vivo Y21T,Pearl White,128,4,5000,50,8,0,16.71,Qualcomm Snapdragon 680,15499
518,REDMI K50i 5G,Phantom Blue,256,8,5080,64,16,0,16.76,Dimensity 8100,29990
519,Tecno Spark Go 2023,Nebula Purple,32,3,5000,13,5,0,16.66,MediaTek Helio A22,7280
521,Tecno Spark Go 2023,UYUNI BLUE,64,4,5000,13,5,0,16.66,Mediatek Helio A22,8999
